interno,est_off,linea,Field₃,estacion,latitude,longitude,geom_wgs84
10113,PLAZA DE MAYO,A,Plaza de Mayo/A,Plaza de Mayo,-34.608807,-58.37095,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10114,PLAZA DE MAYO,A,Plaza de Mayo/A,Plaza de Mayo,-34.608807,-58.37095,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10201,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10202,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10203,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10204,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10205,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10209,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10211,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10212,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10219,PERU,A,Peru/A,Perú,-34.60855,-58.37427,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10301,PIEDRAS,A,Piedras/A,Piedras,-34.608876,-58.379099,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
70801,VENEZUELA,H,Venezuela/H,Venezuela,-34.615092,-58.404776,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
70802,VENEZUELA,H,Venezuela/H,Venezuela,-34.615092,-58.404776,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
70811,VENEZUELA,H,Venezuela/H,Venezuela,-34.615092,-58.404776,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10302,PIEDRAS,A,Piedras/A,Piedras,-34.608876,-58.379099,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10303,PIEDRAS,A,Piedras/A,Piedras,-34.608876,-58.379099,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10311,PIEDRAS,A,Piedras/A,Piedras,-34.608876,-58.379099,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10312,PIEDRAS,A,Piedras/A,Piedras,-34.608876,-58.379099,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10401,LIMA,A,Lima/A,Lima,-34.609087,-58.382242,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10402,LIMA,A,Lima/A,Lima,-34.609087,-58.382242,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10403,LIMA,A,Lima/A,Lima,-34.609087,-58.382242,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10411,LIMA,A,Lima/A,Lima,-34.609087,-58.382242,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10412,LIMA,A,Lima/A,Lima,-34.609087,-58.382242,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10501,SAENZ PE¥A,A,Saenz Pe¤a/A,Saenz Peña,-34.609412,-58.386784,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10502,SAENZ PE¥A,A,Saenz Pe¤a/A,Saenz Peña,-34.609412,-58.386784,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10503,SAENZ PE¥A,A,Saenz Pe¤a/A,Saenz Peña,-34.609412,-58.386784,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10511,SAENZ PE¥A,A,Saenz Pe¤a/A,Saenz Peña,-34.609412,-58.386784,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10512,SAENZ PE¥A,A,Saenz Pe¤a/A,Saenz Peña,-34.609412,-58.386784,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10601,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10602,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10603,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10609,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10611,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10612,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10613,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10619,CONGRESO,A,Congreso/A,Congreso,-34.609216,-58.392692,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10701,PASCO,A,Pasco/A,Pasco,-34.609646,-58.398438,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10702,PASCO,A,Pasco/A,Pasco,-34.609646,-58.398438,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10703,PASCO,A,Pasco/A,Pasco,-34.609646,-58.398438,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10801,ALBERTI,A,Alberti/A,Alberti,-34.609828,-58.401203,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10802,ALBERTI,A,Alberti/A,Alberti,-34.609828,-58.401203,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10803,ALBERTI,A,Alberti/A,Alberti,-34.609828,-58.401203,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10901,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10902,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10903,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10911,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10912,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10913,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10914,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10931,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10932,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10933,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10934,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10935,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
10936,PLAZA DE MISERERE,A,Plaza de Miserere/A,Miserere,-34.609802,-58.406698,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11001,LORIA,A,Loria/A,Loria,-34.610801,-58.415163,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11002,LORIA,A,Loria/A,Loria,-34.610801,-58.415163,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11011,LORIA,A,Loria/A,Loria,-34.610801,-58.415163,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11012,LORIA,A,Loria/A,Loria,-34.610801,-58.415163,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11013,LORIA,A,Loria/A,Loria,-34.610801,-58.415163,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11019,LORIA,A,Loria/A,Loria,-34.610801,-58.415163,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11101,CASTRO BARROS,A,Castro Barros/A,Castro Barros,-34.611789,-58.421816,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11102,CASTRO BARROS,A,Castro Barros/A,Castro Barros,-34.611789,-58.421816,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11109,CASTRO BARROS,A,Castro Barros/A,Castro Barros,-34.611789,-58.421816,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11111,CASTRO BARROS,A,Castro Barros/A,Castro Barros,-34.611789,-58.421816,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11112,CASTRO BARROS,A,Castro Barros/A,Castro Barros,-34.611789,-58.421816,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11113,CASTRO BARROS,A,Castro Barros/A,Castro Barros,-34.611789,-58.421816,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11119,CASTRO BARROS,A,Castro Barros/A,Castro Barros,-34.611789,-58.421816,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11201,RIO DE JANEIRO,A,Rio de Janeiro/A,Río Janeiro,-34.615206,-58.4295,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11202,RIO DE JANEIRO,A,Rio de Janeiro/A,Río Janeiro,-34.615206,-58.4295,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11211,RIO DE JANEIRO,A,Rio de Janeiro/A,Río Janeiro,-34.615206,-58.4295,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11212,RIO DE JANEIRO,A,Rio de Janeiro/A,Río Janeiro,-34.615206,-58.4295,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11213,RIO DE JANEIRO,A,Rio de Janeiro/A,Río Janeiro,-34.615206,-58.4295,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11301,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11302,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11309,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11311,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11312,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11313,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11314,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11315,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11316,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11319,ACOYTE,A,Acoyte/A,Acoyte,-34.61828,-58.436429,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11401,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11402,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11403,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11404,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11405,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11411,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11412,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11413,PRIMERA JUNTA,A,Primera Junta/A,Primera Junta,-34.620386,-58.441201,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11501,PUAN,A,Puan/A,Puán,-34.62353,-58.448671,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11502,PUAN,A,Puan/A,Puán,-34.62353,-58.448671,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11511,PUAN,A,Puan/A,Puán,-34.62353,-58.448671,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11512,PUAN,A,Puan/A,Puán,-34.62353,-58.448671,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11601,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11602,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11603,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11604,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11611,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11612,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11613,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11614,CARABOBO,A,Carabobo/A,Carabobo,-34.626673,-58.456703,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11801,SAN JOSE DE FLORES,A,San Jose de Flores/A,Flores,-34.628892,-58.463708,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11802,SAN JOSE DE FLORES,A,San Jose de Flores/A,Flores,-34.628892,-58.463708,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11803,SAN JOSE DE FLORES,A,San Jose de Flores/A,Flores,-34.628892,-58.463708,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11811,SAN JOSE DE FLORES,A,San Jose de Flores/A,Flores,-34.628892,-58.463708,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11812,SAN JOSE DE FLORES,A,San Jose de Flores/A,Flores,-34.628892,-58.463708,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11813,SAN JOSE DE FLORES,A,San Jose de Flores/A,Flores,-34.628892,-58.463708,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11814,SAN JOSE DE FLORES,A,San Jose de Flores/A,Flores,-34.628892,-58.463708,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11701,SAN PEDRITO,A,San pedrito/A,Pedrito,-34.631002,-58.471456,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11702,SAN PEDRITO,A,San pedrito/A,Pedrito,-34.631002,-58.471456,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
11703,SAN PEDRITO,A,San pedrito/A,Pedrito,-34.631002,-58.471456,0101000020E6100000C139234A7B2F4DC0B6494563ED4D41C0
