identidad,Entidad,codigoterminal,idubicacion,ubicacion,nroterminal
94,SOFSE SARMIENTO,11601,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11603,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11604,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11607,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11605,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11606,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11608,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11609,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11602,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11502,23161,FFCC Sarmiento Est. Once,1
94,SOFSE SARMIENTO,11611,26439,FFCC Sarmiento Est. Caballito,2
94,SOFSE SARMIENTO,11612,26439,FFCC Sarmiento Est. Caballito,2
94,SOFSE SARMIENTO,11699,26439,FFCC Sarmiento Est. Caballito,2
94,SOFSE SARMIENTO,11660,26439,FFCC Sarmiento Est. Caballito,2
94,SOFSE SARMIENTO,11700,26439,FFCC Sarmiento Est. Caballito,2
94,SOFSE SARMIENTO,11614,26441,FFCC Sarmiento Est. Flores,3
94,SOFSE SARMIENTO,11671,26441,FFCC Sarmiento Est. Flores,3
94,SOFSE SARMIENTO,11613,26441,FFCC Sarmiento Est. Flores,3
94,SOFSE SARMIENTO,11529,26441,FFCC Sarmiento Est. Flores,3
94,SOFSE SARMIENTO,11555,26441,FFCC Sarmiento Est. Flores,3
94,SOFSE SARMIENTO,11672,26444,FFCC Sarmiento Est. Floresta,4
94,SOFSE SARMIENTO,11615,26444,FFCC Sarmiento Est. Floresta,4
94,SOFSE SARMIENTO,11536,26444,FFCC Sarmiento Est. Floresta,4
94,SOFSE SARMIENTO,11616,26446,FFCC Sarmiento Est. Villa Luro,5
94,SOFSE SARMIENTO,11617,26002,FFCC Sarmiento Est. Liniers,6
94,SOFSE SARMIENTO,11620,26002,FFCC Sarmiento Est. Liniers,6
94,SOFSE SARMIENTO,11621,26002,FFCC Sarmiento Est. Liniers,6
94,SOFSE SARMIENTO,11618,26002,FFCC Sarmiento Est. Liniers,6
94,SOFSE SARMIENTO,11619,26002,FFCC Sarmiento Est. Liniers,6
94,SOFSE SARMIENTO,11622,25513,FFCC Sarmiento Est. Ciudadela,7
94,SOFSE SARMIENTO,11623,25513,FFCC Sarmiento Est. Ciudadela,7
94,SOFSE SARMIENTO,11673,26433,FFCC Sarmiento Est. Ramos Mejía,8
94,SOFSE SARMIENTO,11627,26433,FFCC Sarmiento Est. Ramos Mejía,8
94,SOFSE SARMIENTO,11626,26433,FFCC Sarmiento Est. Ramos Mejía,8
94,SOFSE SARMIENTO,11624,26433,FFCC Sarmiento Est. Ramos Mejía,8
94,SOFSE SARMIENTO,11625,26433,FFCC Sarmiento Est. Ramos Mejía,8
94,SOFSE SARMIENTO,11628,26431,FFCC Sarmiento Est. Haedo,9
94,SOFSE SARMIENTO,11629,26431,FFCC Sarmiento Est. Haedo,9
94,SOFSE SARMIENTO,11698,26431,FFCC Sarmiento Est. Haedo,9
94,SOFSE SARMIENTO,11635,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11674,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11632,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11633,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11634,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11631,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11630,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11636,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11522,23165,FFCC Sarmiento Est. Morón,10
94,SOFSE SARMIENTO,11638,26542,FFCC Sarmiento Est. Castelar,11
94,SOFSE SARMIENTO,11675,26542,FFCC Sarmiento Est. Castelar,11
94,SOFSE SARMIENTO,11637,26542,FFCC Sarmiento Est. Castelar,11
94,SOFSE SARMIENTO,11639,26542,FFCC Sarmiento Est. Castelar,11
94,SOFSE SARMIENTO,11640,26542,FFCC Sarmiento Est. Castelar,11
94,SOFSE SARMIENTO,11641,26531,FFCC Sarmiento Est. Ituzaingo,12
94,SOFSE SARMIENTO,11643,26531,FFCC Sarmiento Est. Ituzaingo,12
94,SOFSE SARMIENTO,11642,26531,FFCC Sarmiento Est. Ituzaingo,12
94,SOFSE SARMIENTO,11676,26531,FFCC Sarmiento Est. Ituzaingo,12
94,SOFSE SARMIENTO,11647,26535,FFCC Sarmiento Est. S.A. De Padua,13
94,SOFSE SARMIENTO,11645,26535,FFCC Sarmiento Est. S.A. De Padua,13
94,SOFSE SARMIENTO,11646,26535,FFCC Sarmiento Est. S.A. De Padua,13
94,SOFSE SARMIENTO,11644,26535,FFCC Sarmiento Est. S.A. De Padua,13
94,SOFSE SARMIENTO,11650,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11655,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11657,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11677,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11651,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11648,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11654,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11656,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11678,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11653,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11649,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11652,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11516,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11545,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11544,23166,FFCC Sarmiento Est. Merlo,14
94,SOFSE SARMIENTO,11658,26547,FFCC Sarmiento Est. Paso del Rey,15
94,SOFSE SARMIENTO,11659,26547,FFCC Sarmiento Est. Paso del Rey,15
94,SOFSE SARMIENTO,11517,26547,FFCC Sarmiento Est. Paso del Rey,15
94,SOFSE SARMIENTO,11546,26547,FFCC Sarmiento Est. Paso del Rey,15
94,SOFSE SARMIENTO,11581,26547,FFCC Sarmiento Est. Paso del Rey,15
94,SOFSE SARMIENTO,11669,25628,FFCC Sarmiento Est. Moreno,16
94,SOFSE SARMIENTO,11664,25628,FFCC Sarmiento Est. Moreno,16
94,SOFSE SARMIENTO,11668,25628,FFCC Sarmiento Est. Moreno,16
94,SOFSE SARMIENTO,11661,25628,FFCC Sarmiento Est. Moreno,16
94,SOFSE SARMIENTO,11670,25628,FFCC Sarmiento Est. Moreno,16
